controlador,cenario,start_temp,occupancy,hour,conf_larga_pct,conf_estreita_pct,na_tolerancia_pct,desvio_ideal,energia_kwh
DQN Agressivo,R136,23.75031245913905,4,18,100.0,100.0,100.0,0.17304225264088502,4.102994000000001
DQN Agressivo,R137,17.3303044986966,27,19,66.66666666666666,58.666666666666664,53.333333333333336,1.6473910064129254,7.033704
DQN Agressivo,R138,18.584005505923223,31,2,77.33333333333333,70.66666666666667,66.66666666666666,1.0298675303154727,9.964414000000001
DQN Agressivo,R139,20.699417141938664,1,10,80.0,66.66666666666666,58.666666666666664,0.911694588069052,0.586142
DQN Agressivo,R140,24.24985653089488,1,10,100.0,100.0,98.66666666666667,0.19014342437072113,4.102994000000001
DQN Agressivo,R141,16.587171953459148,3,14,22.666666666666664,8.0,0.0,3.5730193786175217,0.0
DQN Agressivo,R142,28.613307666948664,24,23,100.0,100.0,100.0,0.1474138000418615,16.411976000000003
DQN Agressivo,R143,25.42071911813817,35,22,100.0,100.0,100.0,0.14355057469316274,16.998118
DQN Agressivo,R144,32.18342384974947,34,5,97.33333333333334,94.66666666666667,93.33333333333333,0.2485035407190379,24.031822000000005
DQN Agressivo,R145,17.128458618422385,42,4,74.66666666666667,69.33333333333334,66.66666666666666,1.3037457437106543,12.308982
DQN Agressivo,R146,28.655368171943778,33,6,100.0,96.0,94.66666666666667,0.20828054985231703,20.51497
DQN Agressivo,R147,17.908051113770274,15,22,66.66666666666666,57.333333333333336,52.0,1.4633548872067854,4.102994000000001
DQN Agressivo,R148,27.621019667731012,18,22,100.0,100.0,100.0,0.14692176533659496,13.481266000000002
DQN Agressivo,R149,21.601666170843085,30,4,96.0,88.0,84.0,0.3682060123319465,12.308982
DQN Agressivo,R150,18.325409063887165,27,22,77.33333333333333,69.33333333333334,64.0,1.0427004108099285,8.79213
DQN Equilibrado,R001,19.864712381941885,36,7,85.33333333333334,78.66666666666666,72.0,0.7523845120383023,11.391542347826087
DQN Equilibrado,R002,29.555212774656482,29,16,88.0,84.0,82.66666666666667,0.6231080491863968,18.01749539130435
DQN Equilibrado,R003,22.648862360232453,38,7,100.0,98.66666666666667,93.33333333333333,0.28357555131334156,14.882909913043477
DQN Equilibrado,R004,26.171248810982227,9,4,100.0,100.0,80.0,0.2954537157419091,7.466939391304348
DQN Equilibrado,R005,27.436852748248562,28,22,100.0,100.0,100.0,0.19095533146492485,14.577096695652177
DQN Equilibrado,R006,20.220177148702707,42,22,90.66666666666666,84.0,62.66666666666667,0.6782380281294862,13.990954695652174
DQN Equilibrado,R007,27.343036702706332,6,2,100.0,100.0,70.66666666666667,0.38978871754484273,7.365001652173913
DQN Equilibrado,R008,23.511274324852817,3,21,100.0,100.0,68.0,0.4186032735067667,2.8032878260869563
DQN Equilibrado,R009,27.856709497994373,9,7,96.0,93.33333333333333,76.0,0.42038216848222376,9.633116347826086
DQN Equilibrado,R010,28.47677877661113,35,5,100.0,100.0,97.33333333333334,0.1899930071444884,19.546561478260873
DQN Equilibrado,R011,17.38710768221754,18,3,62.66666666666667,53.333333333333336,49.333333333333336,1.7813832704648531,3.6952430434782606
DQN Equilibrado,R012,21.78170314422999,21,11,98.66666666666667,90.66666666666666,85.33333333333334,0.3324943384998194,7.135641739130434
DQN Equilibrado,R013,20.529157480943105,25,19,88.0,74.66666666666667,70.66666666666667,0.6550062405903422,7.747268173913043
DQN Equilibrado,R014,19.286004617921407,1,3,57.333333333333336,42.66666666666667,24.0,1.818141338268348,0.0
DQN Equilibrado,R015,17.55830077626391,5,14,38.666666666666664,20.0,12.0,2.679359824758574,0.12742217391304347
DQN Equilibrado,R016,30.53061237435802,30,14,84.0,80.0,78.66666666666666,0.8348397117729889,19.393654869565218
DQN Equilibrado,R017,31.84380213931172,29,17,81.33333333333333,77.33333333333333,76.0,1.0801515970822577,19.97979686956522
DQN Equilibrado,R018,30.62937239568597,32,22,100.0,100.0,98.66666666666667,0.15571698255792024,19.673983652173916
DQN Equilibrado,R019,25.285162154400002,11,22,100.0,100.0,93.33333333333333,0.21151113910899924,6.498530869565217
DQN Equilibrado,R020,24.414794981340012,14,6,100.0,100.0,100.0,0.14635187197091112,7.645330434782608
